CPF,Nome,Produto,Avaliacao
11122233344,Ana Souza,Camiseta,3.6
22233344455,Bruno Lima,Calçado,4.3
33344455566,Carla Martins,Blazer,2.7
44455566677,Diego Alves,Jaqueta,4.0
55566677788,Elisa Fernandes,Calça,3.1
66677788899,Felipe Santos,Bermuda,4.8
77788899900,Gabriela Araújo,Saia,3.2
88899900011,Henrique Silva,Vestido,4.4
99900011122,Isabela Costa,Suéter,3.9
00011122233,João Pereira,Boné,4.1
11122233344,Ana Souza,Camiseta,3.0
22233344455,Bruno Lima,Calçado,4.5
33344455566,Carla Martins,Blazer,2.6
44455566677,Diego Alves,Jaqueta,3.8
55566677788,Elisa Fernandes,Calça,4.2
66677788899,Felipe Santos,Bermuda,3.3
77788899900,Gabriela Araújo,Saia,2.9
88899900011,Henrique Silva,Vestido,4.1
99900011122,Isabela Costa,Suéter,3.7
00011122233,João Pereira,Boné,4.9
11122233344,Ana Souza,Camiseta,4.4
22233344455,Bruno Lima,Calçado,3.2
33344455566,Carla Martins,Blazer,4.3
44455566677,Diego Alves,Jaqueta,3.6
55566677788,Elisa Fernandes,Calça,4.0
66677788899,Felipe Santos,Bermuda,3.4
77788899900,Gabriela Araújo,Saia,4.2
88899900011,Henrique Silva,Vestido,2.8
99900011122,Isabela Costa,Suéter,3.5
00011122233,João Pereira,Boné,4.7
11122233344,Ana Souza,Camiseta,3.6
22233344455,Bruno Lima,Calçado,4.3
33344455566,Carla Martins,Blazer,2.7
44455566677,Diego Alves,Jaqueta,4.0
55566677788,Elisa Fernandes,Calça,3.1
66677788899,Felipe Santos,Bermuda,4.8
77788899900,Gabriela Araújo,Saia,3.2
88899900011,Henrique Silva,Vestido,4.4
99900011122,Isabela Costa,Suéter,3.9
00011122233,João Pereira,Boné,4.1
11122233344,Ana Souza,Camiseta,3.0
22233344455,Bruno Lima,Calçado,4.5
33344455566,Carla Martins,Blazer,2.6
44455566677,Diego Alves,Jaqueta,3.8
55566677788,Elisa Fernandes,Calça,4.2
66677788899,Felipe Santos,Bermuda,3.3
77788899900,Gabriela Araújo,Saia,2.9
88899900011,Henrique Silva,Vestido,4.1
99900011122,Isabela Costa,Suéter,3.7
00011122233,João Pereira,Boné,4.9
11122233344,Ana Souza,Camiseta,4.4
22233344455,Bruno Lima,Calçado,3.2
33344455566,Carla Martins,Blazer,4.3
44455566677,Diego Alves,Jaqueta,3.6
55566677788,Elisa Fernandes,Calça,4.0
66677788899,Felipe Santos,Bermuda,3.4
